,time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol
0,1353024000,11.8,11.17,11.2,58253.16,669422.19,11.75,direct,
1,1353110400,11.8,11.52,11.75,19105.45,223039.47,11.79,direct,
2,1353196800,11.83,11.62,11.79,15514.15,181716.98,11.66,direct,
3,1353283200,11.84,11.6,11.66,25197.92,295260.75,11.8,direct,
4,1353369600,11.8,11.57,11.8,27220.18,318291.25,11.73,direct,
5,1353456000,11.78,11.64,11.73,19227.8,225308.73,11.77,direct,
6,1353542400,12.43,11.67,11.77,58301.3,703582.88,12.42,direct,
7,1353628800,12.42,12.13,12.42,18967.9,233370.93,12.35,direct,
8,1353715200,12.48,12.25,12.35,19570.39,242058.59,12.41,direct,
9,1353801600,12.6,12.31,12.41,24023.69,299989.4,12.48,direct,
10,1353888000,12.65,11.89,12.48,35913.82,443753.07,12.25,direct,
11,1353974400,12.34,11.9,12.25,33194.69,401692.08,12.2,direct,
12,1354060800,12.41,12.1,12.2,30688.21,376900.98,12.35,direct,
13,1354147200,12.6,12.15,12.35,26505.34,329552.64,12.45,direct,
14,1354233600,12.65,12.42,12.45,24350.31,305812.61,12.57,direct,
15,1354320000,12.69,12.46,12.57,14696.42,184860.98,12.56,direct,
16,1354406400,12.68,12.43,12.56,14011.93,176013.47,12.5,direct,
17,1354492800,12.68,12.48,12.5,26759.6,336294.7,12.68,direct,
18,1354579200,13.5,12.62,12.68,63245.72,823838.19,13.41,direct,
19,1354665600,13.42,13.15,13.41,29794.93,395716.07,13.38,direct,
20,1354752000,13.69,12.9,13.38,46562.54,623136.59,13.3,direct,
21,1354838400,13.55,12.98,13.3,32799.57,437726.61,13.5,direct,
22,1354924800,13.55,13.35,13.5,13171.51,177338.38,13.42,direct,
23,1355011200,13.53,13.02,13.42,28166.62,372655.91,13.39,direct,
24,1355097600,13.55,13.27,13.39,24664.9,331115.25,13.43,direct,
25,1355184000,13.67,13.3,13.43,28045.88,378671.69,13.56,direct,
26,1355270400,13.8,13.3,13.56,37679.23,512418.01,13.7,direct,
27,1355356800,13.8,13.47,13.7,24197.68,331480.86,13.7,direct,
28,1355443200,13.9,13.0,13.7,70143.98,951046.01,13.6,direct,
29,1355529600,13.64,13.44,13.6,15187.66,205671.39,13.49,direct,
30,1355616000,13.67,13.13,13.49,42760.55,570895.78,13.3,direct,
31,1355702400,13.49,12.75,13.3,63631.25,839092.63,13.25,direct,
32,1355788800,13.4,13.11,13.25,23220.51,307326.85,13.3,direct,
33,1355875200,13.6,13.2,13.3,38807.1,520163.02,13.6,direct,
34,1355961600,13.72,13.33,13.6,32980.36,446364.01,13.56,direct,
35,1356048000,13.6,13.42,13.56,25330.45,342557.95,13.5,direct,
36,1356134400,13.59,13.32,13.5,14783.4,198463.8,13.37,direct,
37,1356220800,13.47,13.01,13.37,23978.22,316965.89,13.31,direct,
38,1356307200,13.45,13.21,13.31,16692.15,223315.17,13.38,direct,
39,1356393600,13.43,13.14,13.38,13165.69,175265.29,13.35,direct,
40,1356480000,13.47,13.2,13.35,15840.13,211349.14,13.47,direct,
41,1356566400,13.47,13.25,13.47,19822.05,265311.8,13.42,direct,
42,1356652800,13.65,13.34,13.42,23813.01,320223.37,13.5,direct,
43,1356739200,13.67,13.27,13.5,26149.14,352722.29,13.4,direct,
44,1356825600,13.59,13.35,13.4,11764.2,158277.2,13.45,direct,
45,1356912000,13.56,13.37,13.45,15049.79,202798.91,13.51,direct,
46,1356998400,13.56,13.16,13.51,28406.21,378879.35,13.3,direct,
47,1357084800,13.4,13.16,13.3,17966.81,239156.18,13.28,direct,
48,1357171200,13.46,13.25,13.28,18032.25,240845.86,13.4,direct,
49,1357257600,13.52,13.27,13.4,29641.92,397884.35,13.5,direct,
50,1357344000,13.55,13.31,13.5,21329.93,286932.51,13.44,direct,
51,1357430400,13.52,13.36,13.44,12741.13,171497.01,13.52,direct,
52,1357516800,13.59,13.4,13.52,25477.72,344083.33,13.59,direct,
53,1357603200,13.88,13.5,13.59,42798.37,587223.86,13.74,direct,
54,1357689600,13.86,13.62,13.74,28606.38,393192.24,13.77,direct,
55,1357776000,14.32,13.77,13.77,51811.03,727790.48,14.14,direct,
56,1357862400,14.35,13.91,14.14,40434.54,570677.27,14.14,direct,
57,1357948800,14.34,13.98,14.14,26931.84,381546.96,14.24,direct,
58,1358035200,14.31,13.95,14.24,38330.15,540759.58,14.12,direct,
59,1358121600,14.35,14.11,14.12,22096.95,315016.66,14.35,direct,
60,1358208000,14.48,13.99,14.35,51573.23,732428.4,14.25,direct,
61,1358294400,14.73,14.21,14.25,45532.49,660929.7,14.73,direct,
62,1358380800,15.7,14.63,14.73,65489.44,993185.63,15.5,direct,
63,1358467200,15.99,15.41,15.5,56097.55,879655.99,15.7,direct,
64,1358553600,15.77,15.25,15.7,34588.82,534667.03,15.62,direct,
65,1358640000,15.89,15.51,15.62,25982.13,408455.8,15.7,direct,
66,1358726400,16.98,15.63,15.7,61502.1,1007686.44,16.8,direct,
67,1358812800,17.59,16.65,16.8,60975.24,1045898.98,17.26,direct,
68,1358899200,17.59,16.8,17.26,49439.37,851188.37,17.5,direct,
69,1358985600,19.19,15.61,17.5,172009.1,3053222.09,16.9,direct,
70,1359072000,17.8,15.39,16.9,80767.49,1345890.12,17.4,direct,
71,1359158400,17.88,16.54,17.4,34810.6,597064.17,17.88,direct,
72,1359244800,18.0,17.21,17.88,23766.82,419571.12,17.95,direct,
73,1359331200,18.88,17.75,17.95,57669.44,1057611.3,18.72,direct,
74,1359417600,19.8,18.7,18.72,86082.08,1650126.18,19.54,direct,
75,1359504000,19.8,19.15,19.54,45064.83,877863.5,19.78,direct,
76,1359590400,21.43,19.51,19.78,99226.7,2042238.64,20.41,direct,
77,1359676800,21.13,20.3,20.41,49917.48,1034619.16,20.5,direct,
78,1359763200,20.5,18.0,20.5,80501.65,1567325.27,19.63,direct,
79,1359849600,20.9,19.42,19.63,34244.3,693849.61,20.59,direct,
80,1359936000,21.05,19.86,20.59,52219.14,1066570.21,20.43,direct,
81,1360022400,20.79,20.2,20.43,29212.44,600949.67,20.6,direct,
82,1360108800,21.33,20.6,20.6,51989.6,1096396.16,21.2,direct,
83,1360195200,22.22,20.77,21.2,64263.77,1388465.81,22.15,direct,
84,1360281600,22.77,22.0,22.15,48649.93,1090678.48,22.66,direct,
85,1360368000,23.99,22.58,22.66,38133.01,886034.01,23.65,direct,
86,1360454400,24.11,22.67,23.65,56426.07,1321513.68,23.97,direct,
87,1360540800,24.68,23.65,23.97,29526.73,712458.7,24.65,direct,
88,1360627200,25.83,24.3,24.65,74239.93,1862561.32,25.17,direct,
89,1360713600,26.3,24.19,25.17,90150.21,2296830.8,24.2,direct,
90,1360800000,27.6,21.72,24.2,145734.74,3710262.51,27.22,direct,
91,1360886400,27.51,26.1,27.22,51714.15,1396017.97,27.1,direct,
92,1360972800,27.5,26.81,27.1,18826.94,511421.92,27.22,direct,
93,1361059200,27.4,25.0,27.22,77042.22,2033614.64,26.81,direct,
94,1361145600,27.15,26.36,26.81,29744.27,795866.42,26.95,direct,
95,1361232000,29.65,26.8,26.95,99699.25,2810076.61,29.42,direct,
96,1361318400,29.87,28.99,29.42,37209.36,1096641.18,29.65,direct,
97,1361404800,29.98,29.31,29.65,34730.51,1030860.6,29.8,direct,
98,1361491200,31.3,29.67,29.8,66951.69,2039411.78,30.25,direct,
99,1361577600,30.69,28.0,30.25,72278.17,2099763.39,29.8,direct,
100,1361664000,30.4,29.2,29.8,24274.89,722940.53,29.89,direct,
101,1361750400,30.4,29.55,29.89,26778.95,805270.53,30.4,direct,
102,1361836800,31.7,30.12,30.4,42864.33,1329295.41,31.16,direct,
103,1361923200,31.65,30.79,31.16,30472.78,951289.24,30.91,direct,
104,1362009600,34.52,30.9,30.91,126517.41,4136416.34,33.38,direct,
105,1362096000,34.9,32.92,33.38,39786.14,1362290.79,34.5,direct,
106,1362182400,34.81,33.15,34.5,36662.49,1241775.93,34.25,direct,
107,1362268800,34.5,33.8,34.25,12524.59,427480.57,34.5,direct,
108,1362355200,36.7,34.19,34.5,46771.49,1659027.49,36.15,direct,
109,1362441600,40.65,36.15,36.15,85425.52,3361374.96,40.33,direct,
110,1362528000,49.1,40.14,40.33,126451.72,5712472.93,41.02,direct,
111,1362614400,45.5,33.3,41.02,157316.08,6439707.76,42.0,direct,
112,1362700800,44.5,41.02,42.0,47095.97,2032649.25,44.18,direct,
113,1362787200,46.99,43.41,44.18,44475.89,2020839.64,46.85,direct,
114,1362873600,47.95,45.47,46.85,36363.25,1703124.85,46.0,direct,
